accession_number,report_date,url,issuer,class,cusip,value,shares,share_type,discretion,voting_sole,voting_shared,voting_none
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SALESFORCE INC,COM,79466L302,167699928,501600,SH,SOLE,501600,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SANOFI,SPONSORED ADR,80105N105,53580057,1110928,SH,SOLE,1102400,0,8528
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SAVERS VALUE VLG INC,COM,80517M109,4835438,471750,SH,SOLE,471750,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SCHLUMBERGER LTD,COM STK,806857108,16190982,422300,SH,SOLE,422300,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SCHWAB CHARLES CORP,COM,808513105,314716426,4252350,SH,SOLE,4163826,0,88524
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,65781602,762155,SH,SOLE,677155,0,85000
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SHUTTERSTOCK INC,COM,825690100,1587305,52300,SH,SOLE,52300,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SNAP INC,CL A,83304A106,336563,31250,SH,SOLE,31250,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SONY GROUP CORP,SPONSORED ADR,835699307,2158232291,101995855,SH,SOLE,99677455,0,2318400
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SOUTHWEST AIRLS CO,COM,844741108,1644019782,48900053,SH,SOLE,47511788,0,1388265
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SPHERE ENTERTAINMENT CO,CL A,55826T102,17079471,423598,SH,SOLE,423598,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SPOTIFY TECHNOLOGY S A,SHS,L8681T102,98334124,219800,SH,SOLE,219800,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,STANDARD BIOTOOLS INC,COM,34385P108,1123455,641974,SH,SOLE,641974,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,STRATASYS LTD,SHS,M85548101,13093458,1472830,SH,SOLE,1472830,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,STRYKER CORPORATION,COM,863667101,157017805,436100,SH,SOLE,436100,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SUN CTRY AIRLS HLDGS INC,COM,866683105,1210359,83015,SH,SOLE,83015,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,SYSCO CORP,COM,871829107,331624528,4337229,SH,SOLE,4177939,0,159290
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TAKE-TWO INTERACTIVE SOFTWAR,COM,874054109,3246987,17639,SH,SOLE,17639,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TAPESTRY INC,COM,876030107,26595517,407095,SH,SOLE,236685,0,170410
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TECHNIPFMC PLC,COM,G87110105,52934154,1829100,SH,SOLE,1829100,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TELEFONAKTIEBOLAGET LM ERICS,ADR B SEK 10,294821608,372942640,46270799,SH,SOLE,44790699,0,1480100
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TERADYNE INC,COM,880770102,246582838,1958250,SH,SOLE,1873225,0,85025
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TESLA INC,COM,88160R101,3051308023,7555735,SH,SOLE,7441555,0,114180
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TEXAS INSTRS INC,COM,882508104,2694616016,14370519,SH,SOLE,14081938,0,288581
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TEXTRON INC,COM,883203101,372859303,4874615,SH,SOLE,4816650,0,57965
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,THE TRADE DESK INC,COM CL A,88339J105,25080902,213400,SH,SOLE,213400,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,THERMO FISHER SCIENTIFIC INC,COM,883556102,1303254705,2505151,SH,SOLE,2455741,0,49410
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TJX COS INC NEW,COM,872540109,1450126768,12003367,SH,SOLE,11809575,0,193792
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,T-MOBILE US INC,COM,872590104,148943969,674779,SH,SOLE,674779,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TRADEWEB MKTS INC,CL A,892672106,203381602,1553480,SH,SOLE,1510780,0,42700
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TRANSDIGM GROUP INC,COM,893641100,650360492,513194,SH,SOLE,513194,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TRANSOCEAN LTD,REGISTERED SHS,H8817H100,205561544,54816411,SH,SOLE,51836515,0,2979896
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TRIMBLE INC,COM,896239100,312681524,4425156,SH,SOLE,4212686,0,212470
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TRONOX HOLDINGS PLC,SHS,G9087Q102,13591479,1349700,SH,SOLE,1349700,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,TYSON FOODS INC,CL A,902494103,25411456,442400,SH,SOLE,442400,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UBER TECHNOLOGIES INC,COM,90353T100,83012384,1376200,SH,SOLE,1313800,0,62400
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ULTA BEAUTY INC,COM,90384S303,28679284,65940,SH,SOLE,65940,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNION PAC CORP,COM,907818108,341439731,1497280,SH,SOLE,1496180,0,1100
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNITED AIRLS HLDGS INC,COM,910047109,2202177022,22679475,SH,SOLE,22178015,0,501460
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNITED PARCEL SERVICE INC,CL B,911312106,351662763,2788761,SH,SOLE,2725545,0,63216
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNITEDHEALTH GROUP INC,COM,91324P102,6535711,12920,SH,SOLE,12920,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNITY SOFTWARE INC,COM,91332U101,14859276,661294,SH,SOLE,661294,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,UNIVERSAL DISPLAY CORP,COM,91347P105,262740699,1797132,SH,SOLE,1771432,0,25700
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,US FOODS HLDG CORP,COM,912008109,44457557,659021,SH,SOLE,638921,0,20100
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,VALERO ENERGY CORP,COM,91913Y100,13150232,107270,SH,SOLE,85740,0,21530
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,VICTORIAS SECRET AND CO,COMMON STOCK,926400102,4843365,116933,SH,SOLE,116933,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,VISA INC,COM CL A,92826C839,1253029071,3964780,SH,SOLE,3792180,0,172600
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,VSE CORP,COM,918284100,14005377,147270,SH,SOLE,140390,0,6880
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WALMART INC,COM,931142103,6071520,67200,SH,SOLE,67200,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WATERS CORP,COM,941848103,25612830,69041,SH,SOLE,69041,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WAVE LIFE SCIENCES LTD,SHS,Y95308105,31166462,2519520,SH,SOLE,2519520,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WELLS FARGO CO NEW,COM,949746101,1793872284,25539184,SH,SOLE,24742879,0,796305
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WESTERN DIGITAL CORP,COM,958102105,69088214,1158615,SH,SOLE,1140815,0,17800
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WEX INC,COM,96208T104,55274890,315280,SH,SOLE,315280,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WHIRLPOOL CORP,COM,963320106,534688687,4670586,SH,SOLE,4512426,0,158160
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WILLSCOT HLDGS CORP,COM CL A,971378104,29218575,873500,SH,SOLE,873500,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,WOLFSPEED INC,COM,977852102,43417633,6519164,SH,SOLE,6091644,0,427520
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,XENCOR INC,COM,98401F105,206462248,8984432,SH,SOLE,8984432,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,XOMETRY INC,CLASS A COM,98423F109,277373699,6501962,SH,SOLE,5891697,0,610265
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,XPENG INC,ADS,98422D105,185479145,15691975,SH,SOLE,14390935,0,1301040
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,XPO INC,COM,983793100,71109530,542200,SH,SOLE,542200,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ZENTALIS PHARMACEUTICALS INC,COM,98943L107,4607509,1520630,SH,SOLE,1468630,0,52000
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ZIMMER BIOMET HOLDINGS INC,COM,98956P102,506722958,4797150,SH,SOLE,4600800,0,196350
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ZIMVIE INC,COM,98888T107,486298,34860,SH,SOLE,34860,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ZOOM COMMUNICATIONS INC,CL A,98980L101,98115623,1202250,SH,SOLE,1202250,0,0
0001085146-25-000946,,https://www.sec.gov/Archives/edgar/data/763212/000108514625000946/infotable.xml,ZOOMINFO TECHNOLOGIES INC,COMMON STOCK,98980F104,45948680,4371901,SH,SOLE,4371901,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,10X GENOMICS INC,CL A COM,88025U109,6670132,295400,SH,SOLE,295400,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,908 DEVICES INC,COM,65443P102,69400,20000,SH,SOLE,20000,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ABBOTT LABS,COM,002824100,104827635,919460,SH,SOLE,872920,0,46540
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ACCURAY INC,COM,004397105,310680,172600,SH,SOLE,172600,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,389274,76030,SH,SOLE,76030,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ADOBE INC,COM,00724F101,2941557887,5681096,SH,SOLE,5565887,0,115209
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AECOM,COM,00766T100,1292032452,12511207,SH,SOLE,12070208,0,441000
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AGILENT TECHNOLOGIES INC,COM,00846U101,282979272,1905840,SH,SOLE,1786531,0,119310
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALASKA AIR GROUP INC,COM,011659109,174164608,3852347,SH,SOLE,3852347,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALBEMARLE CORP,COM,012653101,363116625,3833984,SH,SOLE,3706584,0,127400
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALCON AG,ORD SHS,H01301128,78874974,788198,SH,SOLE,767998,0,20200
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,2325890617,21917552,SH,SOLE,21231202,0,686350
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALKERMES PLC,SHS,G01767105,92286250,3297115,SH,SOLE,3195925,0,101190
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALLEGIANT TRAVEL CO,COM,01748X102,2265719,41150,SH,SOLE,41150,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALLOGENE THERAPEUTICS INC,COM,019770106,15871128,5668260,SH,SOLE,5668260,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALPHABET INC,CAP STK CL A,02079K305,3100215812,18692890,SH,SOLE,18063310,0,629580
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALPHABET INC,CAP STK CL C,02079K107,2071940532,12392730,SH,SOLE,11991280,0,401450
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALTAIR ENGR INC,COM CL A,021369103,30801306,322493,SH,SOLE,322493,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALTICE USA INC,CL A,02156K103,11982168,4870800,SH,SOLE,4870800,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ALTRIA GROUP INC,COM,02209S103,47283456,926400,SH,SOLE,926400,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMAZON COM INC,COM,023135106,820904765,4405650,SH,SOLE,4344750,0,60900
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMBARELLA INC,SHS,G037AX101,1658307,29400,SH,SOLE,29400,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMENTUM HOLDINGS INC,COM,023939101,169998847,5271282,SH,SOLE,5073882,0,197400
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMERICAN AIRLS GROUP INC,COM,02376R102,644497848,57339666,SH,SOLE,55507321,0,1832344
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMERICAN HOMES 4 RENT,CL A,02665T306,11807228,307560,SH,SOLE,292360,0,15200
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMETEK INC,COM,031100100,61111589,355900,SH,SOLE,355900,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMGEN INC,COM,031162100,4593407073,14255941,SH,SOLE,14001657,0,254285
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AMICUS THERAPEUTICS INC,COM,03152W109,10987584,1028800,SH,SOLE,1028800,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ANALOG DEVICES INC,COM,032654105,823582787,3578150,SH,SOLE,3499500,0,78650
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,APPLE INC,COM,037833100,526696500,2260500,SH,SOLE,2260500,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,APPLIED MATLS INC,COM,038222105,554078281,2742283,SH,SOLE,2646928,0,95355
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ARISTA NETWORKS INC,COM,040413106,1612044,4200,SH,SOLE,4200,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ARLO TECHNOLOGIES INC,COM,04206A101,60088502,4961891,SH,SOLE,4526321,0,435570
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ARM HOLDINGS PLC,SPONSORED ADS,042068205,81442765,569490,SH,SOLE,569490,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ARRAY TECHNOLOGIES INC,COM SHS,04271T100,6016560,911600,SH,SOLE,911600,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,460961399,553209,SH,SOLE,535813,0,17396
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,ASTRAZENECA PLC,SPONSORED ADR,046353108,3270665308,41980045,SH,SOLE,40739445,0,1240600
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AURORA INNOVATION INC,CLASS A COM,051774107,60488784,10217700,SH,SOLE,10217700,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AUTODESK INC,COM,052769106,187552294,680820,SH,SOLE,680820,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AXCELIS TECHNOLOGIES INC,COM NEW,054540208,102169615,974436,SH,SOLE,974436,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,AXON ENTERPRISE INC,COM,05464C101,30609360,76600,SH,SOLE,76600,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BAIDU INC,SPON ADR REP A,056752108,1276520803,12123856,SH,SOLE,11780016,0,343840
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BANK AMERICA CORP,COM,060505104,405856246,10228232,SH,SOLE,9968332,0,259900
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BANK NEW YORK MELLON CORP,COM,064058100,51732014,719900,SH,SOLE,719900,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BATH & BODY WORKS INC,COM,070830104,172996025,5419675,SH,SOLE,5251696,0,167979
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BEIGENE LTD,SPONSORED ADR,07725L102,1116777627,4974289,SH,SOLE,4882239,0,92050
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BELLRING BRANDS INC,COMMON STOCK,07831C103,16843182,277391,SH,SOLE,271691,0,5700
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BIOCERES CROP SOLUTIONS CORP,SHS,G1117K114,312439,39700,SH,SOLE,39700,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BIOGEN INC,COM,09062X103,3162514912,16315079,SH,SOLE,15900622,0,414457
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BIOMARIN PHARMACEUTICAL INC,COM,09061G101,1326192006,18867435,SH,SOLE,18103412,0,764023
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BIONTECH SE,SPONSORED ADS,09075V102,536426845,4516518,SH,SOLE,4270088,0,246430
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BJS WHSL CLUB HLDGS INC,COM,05550J101,71170343,862880,SH,SOLE,841580,0,21300
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BLACKBERRY LTD,COM,09228F103,74136073,28296211,SH,SOLE,28077961,0,218250
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BOEING CO,COM,097023105,48546372,319300,SH,SOLE,319300,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BOOT BARN HLDGS INC,COM,099406100,10538640,63000,SH,SOLE,63000,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BOSTON SCIENTIFIC CORP,COM,101137107,3169860699,37826500,SH,SOLE,37327302,0,499198
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BOWLERO CORP,CL A COM,10258P102,3837806,326900,SH,SOLE,326900,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BRIDGEBIO PHARMA INC,COM,10806X102,23085193,906724,SH,SOLE,906724,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BRINKER INTL INC,COM,109641100,2663244,34800,SH,SOLE,0,0,34800
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BRISTOL-MYERS SQUIBB CO,COM,110122108,1209141551,23369570,SH,SOLE,22795040,0,574530
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BROADCOM INC,COM,11135F101,163984538,950635,SH,SOLE,942825,0,7810
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,BURLINGTON STORES INC,COM,122017106,131265736,498200,SH,SOLE,498200,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CAMECO CORP,COM,13321L108,64375704,1347900,SH,SOLE,1347900,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CAPRI HOLDINGS LIMITED,SHS,G1890L107,175733643,4140755,SH,SOLE,4005255,0,135500
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CARMAX INC,COM,143130102,408863074,5283834,SH,SOLE,4941315,0,342519
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CARNIVAL CORP,UNIT 99/99/9999,143658300,114995089,6222678,SH,SOLE,5778055,0,444623
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CARRIER GLOBAL CORPORATION,COM,14448C104,167679344,2083232,SH,SOLE,2040032,0,43200
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CASEYS GEN STORES INC,COM,147528103,27915253,74300,SH,SOLE,74300,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CATERPILLAR INC,COM,149123101,580991941,1485456,SH,SOLE,1461236,0,24221
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CBOE GLOBAL MKTS INC,COM,12503M108,2089674,10200,SH,SOLE,6500,0,3700
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CERUS CORP,COM,157085101,14866560,8544000,SH,SOLE,8544000,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CHARLES RIV LABS INTL INC,COM,159864107,53894932,273620,SH,SOLE,273620,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CHART INDS INC,COM,16115Q308,19316184,155600,SH,SOLE,155600,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CHARTER COMMUNICATIONS INC N,CL A,16119P108,77730588,239850,SH,SOLE,239850,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CIENA CORP,COM NEW,171779309,7852725,127500,SH,SOLE,127500,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CISCO SYS INC,COM,17275R102,303716374,5706809,SH,SOLE,5520153,0,186656
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CITIGROUP INC,COM NEW,172967424,185427147,2962095,SH,SOLE,2817340,0,144755
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CME GROUP INC,COM,12572Q105,410781903,1861690,SH,SOLE,1793370,0,68320
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,COMCAST CORP NEW,CL A,20030N101,14444066,345800,SH,SOLE,345800,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,COMERICA INC,COM,200340107,26629995,444500,SH,SOLE,444500,0,0
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CONOCOPHILLIPS,COM,20825C104,454904878,4320905,SH,SOLE,4213005,0,107900
0001085146-24-005460,,https://www.sec.gov/Archives/edgar/data/763212/000108514624005460/infotable.xml,CONTROLADORA VUELA COMP DE A,SPON ADR RP 10,21240E105,333591,52700,SH,SOLE,52700,0,0
